rating,reason,subject,example_id,url,question_head,correct_answer_head,matched_surface
5,STUDY_GUIDE_HOST,Driving Rules,greekmmlu:2429,http://docplayer.gr/1200098-D-symfonia-eggrafi-i-proforiki-metaxy-dyo-toylahiston-prosopon-apo-tin.html,Η χρηματοδότηση από Τράπεζα με μεταβίβαση σ' αυτήν μεταχρονολογημένων επιταγών τι επιβαρύνσεις έχει;,Χαρτόσημο υπέρ του Δημοσίου και αμοιβή της Τράπεζας με τόκο και έξοδα,eval_prompt
5,STUDY_GUIDE_HOST,Driving Rules,greekmmlu:2429,http://docplayer.gr/1200098-D-symfonia-eggrafi-i-proforiki-metaxy-dyo-toylahiston-prosopon-apo-tin.html,Η χρηματοδότηση από Τράπεζα με μεταβίβαση σ' αυτήν μεταχρονολογημένων επιταγών τι επιβαρύνσεις έχει;,Χαρτόσημο υπέρ του Δημοσίου και αμοιβή της Τράπεζας με τόκο και έξοδα,question
5,EVAL_REHEARSAL_SITE,Driving Rules,greekmmlu:2430,http://testdriver.gr/peiforthgo.php,"Η μεταφορά 100 τηλεοράσεων από την Ανκόνα στην Πάτρα γίνεται με πλοίο. Το φορτηγό, επί του οποίου βρίσκονται οι τηλεοράσ",μεικτή,eval_prompt
5,EVAL_REHEARSAL_SITE,Driving Rules,greekmmlu:2430,http://testdriver.gr/peiforthgo.php,"Η μεταφορά 100 τηλεοράσεων από την Ανκόνα στην Πάτρα γίνεται με πλοίο. Το φορτηγό, επί του οποίου βρίσκονται οι τηλεοράσ",μεικτή,question
5,EVAL_REHEARSAL_SITE,Driving Rules,greekmmlu:2430,http://testdriver.gr/peiforthgo.php,"Η μεταφορά 100 τηλεοράσεων από την Ανκόνα στην Πάτρα γίνεται με πλοίο. Το φορτηγό, επί του οποίου βρίσκονται οι τηλεοράσ",μεικτή,question_all_choices
5,EVAL_REHEARSAL_SITE,Driving Rules,greekmmlu:2430,http://testdriver.gr/peiforthgo.php,"Η μεταφορά 100 τηλεοράσεων από την Ανκόνα στην Πάτρα γίνεται με πλοίο. Το φορτηγό, επί του οποίου βρίσκονται οι τηλεοράσ",μεικτή,question_correct_answer
5,EVAL_REHEARSAL_SITE,Driving Rules,greekmmlu:2437,http://testdriver.gr/ru/peiforthgo.php,"Κατά την κίνηση σε ανωφέρεια, η επίδραση της δύναμης της βαρύτητας - σε σχέση με την επίδρασή της σε επίπεδη επιφάνεια -",Μικρότερη απόσταση ακινητοποίησης.,eval_prompt
5,EVAL_REHEARSAL_SITE,Driving Rules,greekmmlu:2437,http://testdriver.gr/ru/peiforthgo.php,"Κατά την κίνηση σε ανωφέρεια, η επίδραση της δύναμης της βαρύτητας - σε σχέση με την επίδρασή της σε επίπεδη επιφάνεια -",Μικρότερη απόσταση ακινητοποίησης.,question
5,EVAL_REHEARSAL_SITE,Driving Rules,greekmmlu:2437,http://testdriver.gr/ru/peiforthgo.php,"Κατά την κίνηση σε ανωφέρεια, η επίδραση της δύναμης της βαρύτητας - σε σχέση με την επίδρασή της σε επίπεδη επιφάνεια -",Μικρότερη απόσταση ακινητοποίησης.,question_all_choices
5,EVAL_REHEARSAL_SITE,Driving Rules,greekmmlu:2437,http://testdriver.gr/ru/peiforthgo.php,"Κατά την κίνηση σε ανωφέρεια, η επίδραση της δύναμης της βαρύτητας - σε σχέση με την επίδρασή της σε επίπεδη επιφάνεια -",Μικρότερη απόσταση ακινητοποίησης.,question_correct_answer
